text,intent
Apakah 083217414 terdaftar di whatsapp,function_check_phone
View failed tasks.,tasks_view_failed
View conversations please,navigation_chat_tab
Bisakah Anda memfilter kontak berdasarkan tag 'prospek'?,contacts_filter
How do I turn off auto reply,auto_reply_disable
How can I password reset thanks,login_issue
I need help with is my cloud data stored,security_cloud_data
Bisakah Anda menunjukkan kepada saya cara meluncurkan versi web?,platform_cloud_open
Bagaimana biayanya dalam Rp,pricing_currency_idr
Show me my instances,instance_list
I want to turn off auto reply,auto_reply_disable
Saya butuh bantuan untuk mengonfigurasi balasan otomatis,auto_reply_setup
"Saya ingin menampilkan log obrolan, terima kasih",chat_history
Tolong buatkan template pesan 'Promo-Akhir Pekan',templates_create
I need to display analytics,analytics_view
Pemeriksaan status pembayaran,payment_status
Can you upgrade my plan.,payment_upgrade
Could you show me how to connect to calendar.,calendar_integration
Could you main menu please thank you,navigation_main_dashboard
Tampilkan detail profil,instance_view_profile
Periksa apakah instance saya terhubung?Silakan,instance_connection_status
Instance saya terputus—bagaimana cara memperbaikinya?,troubleshoot_connection
Bagaimana cara cloud vs desktop.,platform_compare
View statistics thank you,analytics_view
Bagaimana caranya saya ingin mengirim pesan?,chat_send
"Bisakah Anda menunjukkan instance saya, terima kasih",instance_list
"Apa cara terbaik untuk mengatur ulang kata sandi, terima kasih",login_issue
Tolong siapkan webhook,api_webhook_setup
Bagaimana saya bisa membantu saya membuat grup baru?,function_create_group
How to subscribe to monthly plan thanks,payment_subscribe
Could you show me how to help me send a message thanks,function_send_message
Can you tell me how to why use warmup.,warmup_info
Jelaskan bagaimana warmup mencegah larangan.,warmup_info
Saya harus keluar dari instance 'promo-1'.,instance_logout
Check profile,instance_view_profile
Gunakan template 'promo-akhir pekan' untuk menyampaikan pesan.,templates_use
Access files tab,navigation_files_tab
Tampilkan kemajuan tugas,tasks_monitor
Share document,files_share
Can you show previous chats,chat_history
How many instances thank you,pricing_instance_limits
Tampilkan tugas yang gagal.Silakan,tasks_view_failed
Saya perlu memverifikasi nomor telepon,function_check_phone
I need to create new account thanks,account_setup
Could you payment status check thanks,payment_status
Pada kesempatan apa saya harus berterima kasih,instance_list
Can I schedule messages across time zones thanks,message_schedule_timezone
Could you show me how to no more instances available,quota_reached
Tolong saya perlu memeriksa status siaran,message_blast_status
Message delivery report,message_blast_status
Bandingkan platform,platform_compare
Logout instance,instance_logout
Gunakan rest api untuk mengirim pesan.Mohon terima kasih,api_send_message
What's the best way to download member list?,group_export
Akses halaman utama,navigation_main_dashboard
"Saya ingin lupa kata sandi saya, bantu saya login.",login_issue
Bisakah Anda membuat daftar semua titik akhir api?,api_reference
What's the best way to add contact?,contacts_add
Display chat log,chat_history
Apa cara terbaik untuk browser mana yang direkomendasikan?,tips_browser
Message delivery report Please,message_blast_status
Lihat semua tugas terjadwal.Mohon terima kasih,tasks_view
Tingkatkan rencana saya.,payment_upgrade
Cost of subscription?,pricing_query
How can I ensure stable internet connection??,tips_internet
Access chattea in browser,platform_cloud_open
Mohon kebijakan privasinya,security_privacy
Can you help me thank you,support_contact
See you later,goodbye
Help me upload banner.jpg for messaging. please,files_upload
Saya ingin pembayaran saya tertunda?,payment_issue
How can I install desktop app thank you,platform_desktop_install
Open Chattea in browser.,platform_cloud_open
Bisakah Anda membantu saya menambahkan grup baru?,group_create
Can you help me tasks are pending?,tasks_view
Tolong bantu saya berlangganan tidak berfungsi,payment_issue
Can you help me is this number on whatsapp,function_check_phone
Saya ingin mendapatkan daftar peserta,group_export
Which browser is recommended thanks,tips_browser
Login problem Please,login_issue
Could you extend my subscription. thank you,payment_extend
Help me organize contacts,contacts_manage
Bagaimana saya bisa membuat instance,function_create_instance
Segmentasikan kontak berdasarkan keterlibatan,advanced_contact_segmentation
How can I validate phone number?,function_check_phone
Bisakah Anda mengaktifkan warmup,warmup_enable
Can you help me setup webhook thanks,api_webhook_setup
Hai,greeting
I want to send whatsapp message thank you,chat_send
Help me view groups thank you,navigation_grouping_tab
Can you help me which version to use?,platform_compare
Bisakah Anda menunjukkan kepada saya cara membantu saya mengirim pesan,function_send_message
Bagaimana caranya saya ingin berlangganan terima kasih,payment_subscribe
Upload file please,files_upload
Could you add new file,files_upload
Organize contacts Please thank you,contacts_manage
How to update group settings.,group_settings_edit
How do I distribute file.,files_share
Saya ingin menyiapkan webhook,api_webhook_setup
Make new account please,account_setup
My instance disconnected—how to fix?,troubleshoot_connection
Thanks a lot,gratitude
Apa cara terbaik untuk mengunggah file,files_upload
Show all all my instances.,instance_list
batalkan itu,cancel_action
Initialize new instance,create_instance
Payment status check Please,payment_status
Bagaimana saya bisa melaporkan kinerja terima kasih,analytics_view
Can you go to dashboard please thanks,navigation_main_dashboard
Bagaimana caranya saya ingin mendaftar?,account_setup
How can I can i schedule messages across time zones?,message_schedule_timezone
Check task status,tasks_monitor
Apa cara terbaik untuk menambahkan kontak baru.?,contacts_add
"Saya ingin membawa saya ke tempat kejadian, terima kasih",navigation_instances_tab
Show instance phone number please,instance_view_profile
How do I sign up for chattea?,account_setup
What's the best way to set webhook url to https://example.com/hooks..,api_webhook_setup
Bisakah Anda memberi tahu saya cara menggunakan rest api untuk mengirim pesan terima kasih,api_send_message
Can you tell me how to why is qr code not showing?,troubleshoot_qr
I need to calendar sync,calendar_integration
Buatlah grup whatsapp bernama 'pelanggan vip' terima kasih,group_create
Help me open grouping tab.,navigation_grouping_tab
View message history thank you,chat_history
Bisakah Anda memberi tahu saya cara menjadwalkan pesan massal untuk besok pukul 09:00?,message_schedule
Saya ingin mendaftar,account_setup
I want to view my contacts,contacts_manage
Can you help me set up group chat thank you,group_create
How to how secure are payments.,security_payment
Apa cara terbaik untuk mode offline tersedia,platform_desktop_info
I need help with enable account warmup.,warmup_enable
Saya perlu menampilkan info profil terima kasih,instance_view_profile
Rename instance to 'marketing-01'. Please please thank you,instance_edit
Bisakah Anda menjadwalkan pesan,message_schedule
Lihat semua tugas terjadwal.Silakan,tasks_view
Can you tell me how to does chattea do.,definition
Bantu saya berlangganan paket bulanan.Terima kasih,payment_subscribe
What's the best way to initialize new instance,create_instance
Tunjukkan pembayaran saya. Tolong terima kasih,payment_history
How to api documentation thanks,api_reference
Integrate Chattea with my calendar.,calendar_integration
"Apa cara terbaik untuk membuat akun, terima kasih",account_setup
How can I password reset,login_issue
What's the best way to subscription not working,payment_issue
How can I is the price in idr thank you,pricing_currency_idr
Install desktop app? Please please,platform_desktop_install
Hubungkan dengan kode telepon,pairing
Cara setting pesan berulang setiap senin jam 10.00..,message_schedule_recurring
Penyetelan ulang kata sandi,login_issue
"Saya butuh bantuan untuk perubahan ke rencana yang lebih baik, terima kasih",payment_upgrade
Display billing page,navigation_payments_tab
Help me describe chattea briefly please,definition
Lihat profil,instance_view_profile
Can you help me apply template thank you,templates_use
Silakan lihat statistik,analytics_view
Bagaimana cara mendistribusikan file terima kasih,files_share
Can you tell me how to accepted payment methods,payment_methods
Bagaimana cara pembaruan platform otomatis?,platform_updates
"Praktik terbaik, terima kasih",general_tips
"Tolong bantu saya menampilkan obrolan, terima kasih",navigation_chat_tab
Silakan lihat detail profil instance,instance_view_profile
Saya memerlukan bantuan untuk memasukkan kode penyandingan untuk menghubungkan akun,pairing
What's the best way to verify phone number please,function_check_phone
"Tambahkan file baru, terima kasih",files_upload
How can I change to better plan?,payment_upgrade
Saya ingin membuat daftar instance,instance_list
Go to main page,navigation_main_dashboard
"Bisakah Anda menunjukkan kepada saya cara menggunakan templat yang disimpan, terima kasih",templates_use
How can I update instance name?,instance_edit
Bagaimana saya bisa menggunakan kode qr untuk memasangkan,pairing
"Saya ingin membuka file, terima kasih",navigation_files_tab
I need help with advanced contact filtering please,advanced_contact_segmentation
Ceritakan tentang Chattea.,definition
How do I use browser version,platform_cloud_open
View groups,navigation_grouping_tab
hey,greeting
Selamat tinggal,goodbye
Apa cara terbaik untuk terus berlangganan?,payment_extend
What's the best way to contact support thank you,support_contact
Bisakah Anda membantu saya memperbaiki masalah kode qr.,troubleshoot_qr
Apa cara terbaik untuk mengatur ulang kata sandi?,login_issue
Bagaimana seberapa aman pembayarannya.,security_payment
What's the best way to manage uploaded files please,files_manage
Tolong dokumentasi Api,api_reference
Help me create a new group please,function_create_group
Help me prolong subscription thank you,payment_extend
How to payment security thank you,security_payment
Bagaimana cara meningkatkan paket saya..,payment_upgrade
What tasks are pending?,tasks_view
How do I rename my instance thanks,instance_edit
"Bisakah Anda menunjukkan kepada saya cara meningkatkan kinerja, terima kasih",general_tips
Lihat percakapan terima kasih,navigation_chat_tab
"Bisakah Anda memberi tahu saya cara memeriksa status pembayaran, terima kasih",payment_status
Grateful,gratitude
I want to connect to calendar please,calendar_integration
Can you tell me how to integrate chattea with my calendar.?,calendar_integration
Payment status verify,payment_status
Can you tell me how to timezone support,message_schedule_timezone
What's the best way to is my cloud data stored thank you,security_cloud_data
Bisakah Anda pergi ke dasbor?,navigation_main_dashboard
I need to log out from instance 'promo-1'.,instance_logout
What's the best way to billing issue,payment_issue
I'd like to use saved template,templates_use
Saya butuh bantuan tentang seberapa aman pembayarannya,security_payment
Recommended browser please,tips_browser
"Verifikasi status koneksi, terima kasih",instance_connection_status
Could you show me how to manage uploaded files thank you,files_manage
Tampilkan semua semua instance saya.,instance_list
"Bisakah pembayaran Anda gagal, terima kasih",payment_issue
"Bagaimana batas instance tercapai, terima kasih",quota_reached
I want to check conversation history,chat_history
How do I does web version include 2 instances thanks,pricing_instance_limits
Is it safe?,security_privacy
Can you payment failed thanks,payment_issue
Search contacts,contacts_filter
Help me configure api,api_webhook_setup
"Bisakah Anda memberi tahu saya cara mengkonfigurasi api, terima kasih",api_webhook_setup
How do I is my cloud data stored,security_cloud_data
Bisakah Anda membuka tab file.,navigation_files_tab
Can you tell me how to billing history thanks,payment_history
What's the best way to set webhook url to https://example.com/hooks,api_webhook_setup
I'd like to modify instance settings thank you,instance_edit
Pembaruan otomatis,platform_updates
thank you,gratitude
Can you help me configure auto reply?,auto_reply_setup
Can you help me is this number on whatsapp please,function_check_phone
Can you tell me how to plan message for later thanks,message_schedule
Bye for now,goodbye
Saya ingin terhubung ke kalender terima kasih,calendar_integration
Is my data secure?,security_privacy
"Bisakah Anda memulai proses warmup, terima kasih",warmup_enable
Bagaimana caranya agar kuota instance saya penuh??,quota_reached
View statistics please,analytics_view
"Bagaimana cara mengaktifkan warmup antara instance a, b, dan c..",warmup_enable
How to sign up for Chattea please,account_setup
I need help with how secure are payments please,security_payment
Apa cara terbaik untuk mencatat transaksi.,payment_history
Tolong buat template baru,templates_create
How can I can i schedule messages across time zones thanks,message_schedule_timezone
Bisakah Anda menunjukkan kepada saya cara memasang aplikasi desktop,platform_desktop_install
Saya mau cek 089213413 daftar di whatsapp atau tidak terima kasih,function_check_phone
How to message someone thanks,function_send_message
Can you help me is chattea,definition
"Saya butuh bantuan tentang seberapa aman pembayarannya, terima kasih",security_payment
Initialize new group Please,group_create
Can you help me export group data?,group_export
Saya butuh bantuan karena tidak dapat terhubung?,troubleshoot_connection
Bisakah Anda membuka tab pembayaran?,navigation_payments_tab
Sort contacts please,contacts_filter
kamu,gratitude
Bantu saya menyiapkan sebuah instance,function_create_instance
Could you check task status thanks,tasks_monitor
View all instances,instance_list
Can you view my tasks,navigation_tasks_tab
I need help with find contacts please,contacts_filter
I need help with auto updates?,platform_updates
Bagaimana caranya kenapa langganan saya tidak aktif terima kasih,payment_issue
Bagaimana cara menggunakan kode QR terima kasih,pairing
Can you tell me how to how many instances please,pricing_instance_limits
Bagaimana cara menggunakan template 'promo-akhir pekan' untuk mengirim pesan?,templates_use
Explain how warmup prevents bans.,warmup_info
Deliver hello world to 08127321340,function_send_message
What's the best way to main menu please thanks,navigation_main_dashboard
Bisakah Anda memberi tahu saya cara membuat templat baru.,templates_create
Tolong bagikan brosur.pdf ke semua instansi,files_share
How do I optimization tips.,general_tips
Can you tell me how to update frequency.,platform_updates
Does web version include 2 instances thank you,pricing_instance_limits
Use rest api to transmit message.,api_send_message
"Apa cara terbaik untuk lupa kata sandi saya, bantu saya login terima kasih",login_issue
How to export group data.,group_export
"Tolong, saya ingin pergi ke grup",navigation_grouping_tab
Bagaimana cara mengaktifkan warmup untuk akun baru?,warmup_enable
"Tampilkan kemajuan tugas, terima kasih",tasks_monitor
Apa cara terbaik untuk mengubah konfigurasi grup?,group_settings_edit
Simpan templat pesan Mohon terima kasih,templates_create
Bagaimana cara mendistribusikan file.,files_share
Help me view profile,instance_view_profile
Bisakah Anda menunjukkan kepada saya cara mematikan balasan otomatis,auto_reply_disable
Payment failed please,payment_issue
Could you view transaction history.,payment_history
I need help with billing issue.,payment_issue
what’s your favorite color?,out_of_scope
Lihat statistik terima kasih,analytics_view
Bagaimana saya bisa mengubah ke rencana yang lebih baik,payment_upgrade
Saya ingin mengirim pesan whatsapp,chat_send
Tampilkan halaman instance Mohon terima kasih,navigation_instances_tab
