"text",intent
"how do i send a message",send_message
"can you send a message to my contacts",send_message
"i want to send a bulk message",send_message
"send message",send_message
"how to broadcast",send_message
"i need to send a message to multiple people",send_message
"can i send messages now",send_message
"send a whatsapp message",send_message
"how do i send bulk messages to my customer list",send_message
"i want to message all my contacts",send_message
"help me send a message",send_message
"can you help me broadcast a message",send_message
"send text to contacts",send_message
"how can i send messages in bulk",send_message
"i need to send promotional messages to my contacts",send_message
"what's the process to send a message to multiple numbers",send_message
"i want to send a marketing message to all my customers today",send_message
"can you show me how to send bulk whatsapp messages",send_message
"send message to group",send_message
"how do i send a message to everyone",send_message
"i want to blast a message",send_message
"broadcast message please",send_message
"help with sending messages",send_message
"can i send a message right now",send_message
"i need to send an announcement to all contacts",send_message
"how to send whatsapp broadcast",send_message
"send bulk whatsapp",send_message
"message all contacts",send_message
"i want to send out a promotion",send_message
"can you send messages for me",send_message
"how do i use the bulk send feature",send_message
"i need to notify all my customers about a sale",send_message
"send a message to my entire contact list please",send_message
"broadcast to all",send_message
"mass message send",send_message
"can i send the same message to multiple people at once",send_message
"i want to send a notification to everyone on my list",send_message
"help me broadcast an important announcement to all contacts",send_message
"how can i send messages to hundreds of people",send_message
"bulk messaging feature",send_message
"i need to send a promotional campaign message to all my subscribers",send_message
"can you guide me through sending a bulk message to my customer database",send_message
"i want to send special offers to all contacts",send_message
"how do i message everyone",send_message
"send to all contacts now",send_message
"i need to send urgent message to all",send_message
"bulk send whatsapp messages",send_message
"how to broadcast on whatsapp business",send_message
"i want to send a product launch announcement to my entire contact list",send_message
"can i send different messages to different groups",send_message
"schedule a message",schedule_message
"can i schedule messages",schedule_message
"how to schedule",schedule_message
"i want to schedule a message for later",schedule_message
"schedule message for tomorrow",schedule_message
"can you help me schedule a broadcast",schedule_message
"how do i set up scheduled messages",schedule_message
"schedule bulk message",schedule_message
"i need to schedule a message to be sent next week",schedule_message
"can i schedule messages to go out automatically",schedule_message
"how to schedule whatsapp messages",schedule_message
"schedule send",schedule_message
"i want to schedule a promotional message for friday",schedule_message
"can you schedule messages for me",schedule_message
"how do i schedule a message to send later",schedule_message
"i need to schedule bulk messages for tomorrow morning",schedule_message
"schedule a broadcast for next monday",schedule_message
"can i set a message to send automatically at a specific time",schedule_message
"how to schedule whatsapp broadcasts",schedule_message
"schedule message feature",schedule_message
"i want to schedule multiple messages throughout the week",schedule_message
"can you help me schedule a message for 9am tomorrow",schedule_message
"how do i schedule a bulk message to send on a specific date",schedule_message
"schedule a campaign",schedule_message
"i need to schedule an announcement for next month",schedule_message
"can i schedule messages in advance",schedule_message
"how to set up scheduled broadcasts",schedule_message
"schedule message to send later",schedule_message
"i want to schedule a message to go out on christmas",schedule_message
"can you schedule a bulk message for me",schedule_message
"how do i schedule messages to send automatically",schedule_message
"schedule whatsapp message",schedule_message
"i need to schedule promotional messages for the entire month",schedule_message
"can i schedule a message to send at midnight",schedule_message
"how to schedule a broadcast for next week",schedule_message
"schedule send for tomorrow",schedule_message
"i want to schedule messages for different times",schedule_message
"can you help me set up scheduled messages",schedule_message
"how do i schedule a message campaign",schedule_message
"schedule bulk messages for next month",schedule_message
"i need to schedule a message to send on new years eve",schedule_message
"can i schedule messages to send while i sleep",schedule_message
"how to schedule automatic messages",schedule_message
"schedule broadcast message",schedule_message
"i want to schedule a flash sale announcement for friday 6pm",schedule_message
