text,intent
"hello",greeting
"hi",greeting
"hey there",greeting
"good morning",greeting
"good evening",greeting
"hi there",greeting
"hey",greeting
"greetings",greeting
"what's up",greeting
"hello bot",greeting
"morning",greeting
"afternoon",greeting
"evening",greeting
"hiya",greeting
"yo",greeting
"sup",greeting
"nice to meet you",greeting
"hello, can you help?",greeting
"hey, quick question",greeting
"hi, I need assistance",greeting
"goodbye",goodbye
"bye",goodbye
"see you later",goodbye
"talk to you later",goodbye
"catch you later",goodbye
"take care",goodbye
"farewell",goodbye
"bye for now",goodbye
"thanks, bye",goodbye
"goodnight",goodbye
"see ya",goodbye
"i'm off, bye",goodbye
"ok bye",goodbye
"later",goodbye
"bye bot",goodbye
"bye for now, thanks",goodbye
"peace",goodbye
"bye bye",goodbye
"end chat",goodbye
"thanks",gratitude
"thank you",gratitude
"thanks a lot",gratitude
"appreciate it",gratitude
"thank you so much",gratitude
"thx",gratitude
"many thanks",gratitude
"cheers",gratitude
"thanks for the help",gratitude
"thanks, that helps",gratitude
"great, thanks",gratitude
"thanks buddy",gratitude
"i appreciate it",gratitude
"thanks a million",gratitude
"much appreciated",gratitude
"thanks again",gratitude
"thanks for that",gratitude
"ta",gratitude
"you saved me, thanks",gratitude
"thank you very much",gratitude
"help",help
"I need help",help
"can you assist me?",help
"support",help
"help me please",help
"how can you help?",help
"what can you do?",help
"I need assistance",help
"need support",help
"help me with this",help
"where can I get help?",help
"customer support",help
"how do I get support?",help
"show me help options",help
"helpdesk",help
"contact support",help
"guide me",help
"assistance please",help
"i'm stuck, help",help
"please help",help
"what is Chattea?",definition
"describe Chattea briefly",definition
"tell me about Chattea",definition
"explain what Chattea does",definition
"what does Chattea do?",definition
"give me info about Chattea",definition
"what is this app for?",definition
"what's Chattea?",definition
"what is Chattea used for?",definition
"what does Chattea offer?",definition
"overview of Chattea",definition
"short description of Chattea",definition
"what features does Chattea have?",definition
"what is Chattea's purpose?",definition
"introduce Chattea",definition
"explain Chattea simply",definition
"what can Chattea do?",definition
"what is the platform about?",definition
"quick info about Chattea",definition
"what is Chattea in one sentence?",definition
"nevermind",cancel
"forget it",cancel
"cancel that",cancel
"stop",cancel
"abort",cancel
"no thanks",cancel
"that's not needed",cancel
"don't do that",cancel
"cancel request",cancel
"never mind that",cancel
"discard that",cancel
"ignore previous",cancel
"please cancel",cancel
"i changed my mind",cancel
"no, don't proceed",cancel
"undo that",cancel
"cancel action",cancel
"cancel it",cancel
"scratch that",cancel
"that's cancelled",cancel
"create instance",instance_create
"add instance",instance_create
"set up new instance",instance_create
"initialize instance",instance_create
"create a WhatsApp instance",instance_create
"make new instance",instance_create
"how to add instance?",instance_create
"help me create instance",instance_create
"add a new instance",instance_create
"create instance for sales",instance_create
"start new instance",instance_create
"register a new instance",instance_create
"setup instance",instance_create
"create instance now",instance_create
"provision instance",instance_create
"create instance guide",instance_create
"i want to add instance",instance_create
"please create instance",instance_create
"create instance for marketing",instance_create
"new instance setup",instance_create
"list instances",instance_manage
"show my instances",instance_manage
"view instances",instance_manage
"display instances",instance_manage
"what instances do I have?",instance_manage
"list all instances",instance_manage
"show all instances",instance_manage
"view my instances",instance_manage
"how many instances do I have?",instance_manage
"instances list",instance_manage
"manage instances",instance_manage
"edit instances",instance_manage
"remove an instance",instance_manage
"instance overview",instance_manage
"instances status list",instance_manage
"instances dashboard",instance_manage
"where are my instances?",instance_manage
"get instances",instance_manage
"show instance names",instance_manage
"list available instances",instance_manage
"pair with QR code",instance_connect
"scan QR to connect",instance_connect
"pair using QR",instance_connect
"scan the QR code",instance_connect
"how to pair with QR?",instance_connect
"connect with QR",instance_connect
"use QR code pairing",instance_connect
"pair device via QR",instance_connect
"connect instance with QR",instance_connect
"pair account using QR",instance_connect
"how to use QR pairing?",instance_connect
"show QR code to pair",instance_connect
"QR code connect",instance_connect
"pair phone via QR",instance_connect
"scan to pair",instance_connect
"start QR pairing",instance_connect
"pair now",instance_connect
"pair using code",instance_connect
"pairing instructions",instance_connect
"pair with device",instance_connect
"check instance status",instance_status
"is my instance online?",instance_status
"instance connection status",instance_status
